Member_number,Recency,Frequency,Monetary,Class
1161,291,2,12.18582897737377,At_risk
1162,146,5,20.334929630389205,Regular
1163,16,3,14.396433228798928,At_risk
1164,275,2,8.514711522621957,Hibernate
1165,1,4,21.70669988278103,High_spender
1166,575,2,6.081615988929807,Hibernate
1167,317,2,6.322421603041085,Hibernate
1168,299,3,19.08694439008452,At_risk
1169,380,9,41.82766900273139,Loyal
1170,29,7,38.6712338016365,Loyal
1171,239,5,12.648599206706546,Regular
1173,69,4,14.286238811614322,Regular
1174,322,5,19.38367626835619,Regular
1175,183,5,39.30749850137618,High_spender
1176,135,6,23.894758343597186,Loyal
1177,77,1,4.973914599956253,Hibernate
1178,45,4,22.06265739513193,High_spender
1179,475,2,13.581814785277134,At_risk
1180,493,2,4.59066549978521,Hibernate
1181,44,3,12.854080063892646,At_risk
1182,31,6,35.806893428829255,Loyal
1183,184,3,26.06715084925806,At_risk
1184,197,2,10.619931171488686,At_risk
1185,128,4,20.732122311935548,High_spender
1186,248,4,13.465765298707243,Regular
1187,18,3,7.407029695696174,Hibernate
1188,355,3,13.69952975839876,At_risk
1189,544,2,7.671878217143654,Hibernate
1190,64,8,31.164888839741472,Loyal
1191,144,2,13.016223087579412,At_risk
1192,355,2,8.680105848193254,Hibernate
1193,48,2,6.434528541097766,Hibernate
1194,231,3,16.773676580588422,At_risk
1195,56,3,13.274474071955815,At_risk
1196,33,3,13.115940428265237,At_risk
1197,38,6,35.33205560363483,Loyal
1198,333,3,19.05701196176528,At_risk
1199,20,4,18.526596529615446,Regular
1200,95,3,9.99424390758343,At_risk
1201,401,2,7.230232903372252,Hibernate
1202,161,4,16.63978975535227,Regular
1204,160,7,29.88442090018616,Loyal
1205,291,3,16.835113485137406,At_risk
1206,229,3,24.64577926001649,At_risk
1207,46,3,15.523569528184028,At_risk
1208,14,5,25.6028135486561,High_spender
1209,414,4,18.593312364046348,Regular
1211,220,6,29.63266550208299,Loyal
1212,152,4,14.886304016541112,Regular
1213,107,3,27.869365890518527,At_risk
1214,354,2,13.462830185092626,At_risk
1215,346,3,18.73013522862088,At_risk
1216,127,4,28.19145156624568,High_spender
1217,315,3,15.29814404773901,At_risk
1218,1,7,43.92525395133733,Loyal
1219,454,2,8.016267996268219,Hibernate
1220,1,5,36.93300382238893,High_spender
1221,410,1,1.1939224684724346,Hibernate
1222,97,2,6.199453850650515,Hibernate
1223,30,4,17.67581553347923,Regular
1224,466,2,10.74636718692146,At_risk
1225,224,7,34.90143508989964,Loyal
1226,48,2,17.648721479626573,At_risk
1227,601,1,3.034952986707272,Hibernate
1228,310,1,4.825220959592053,Hibernate
1229,285,3,18.8645603001464,At_risk
1230,41,6,20.38509025684562,Regular
1231,64,7,32.4334704597116,Loyal
1232,182,3,11.25373824473283,At_risk
1233,139,6,29.53253165539878,Loyal
1234,40,4,17.564192316314504,Regular
1235,215,8,34.56175441989906,Loyal
1236,233,2,10.013515797376453,At_risk
1237,265,7,33.79161486518275,Loyal
1238,304,1,5.304547916298673,Hibernate
1239,121,7,30.095663824588907,Loyal
1240,260,3,21.05862825566485,At_risk
1241,222,4,25.2887989208444,High_spender
1242,16,6,31.11136278524289,Loyal
1243,721,1,2.6419103985976653,Hibernate
1244,400,3,12.138980825000242,At_risk
1245,26,7,36.05277655332527,Loyal
1246,366,4,14.959612122110707,Regular
1247,452,2,6.5430712045553445,Hibernate
1248,15,8,34.76985127451559,Loyal
1249,445,2,10.54953201438938,At_risk
1250,448,1,0.9932517730102834,Hibernate
1251,34,1,3.488475389769216,Hibernate
1252,261,3,21.13814427736588,At_risk
1253,193,2,12.347406291540532,At_risk
1254,255,2,15.749647736282226,At_risk
1255,460,1,4.458524605646606,Hibernate
1256,123,5,24.12003613748212,High_spender
1257,470,2,6.331997100902143,Hibernate
1258,508,2,11.477545013364388,At_risk
1259,33,6,34.56464345300563,Loyal
1260,452,2,9.190818575643297,Hibernate
1261,223,2,13.395558410372525,At_risk
1262,526,2,12.143227888396154,At_risk
1263,437,2,7.553357919261,Hibernate
1264,23,6,32.04498926267343,Loyal
1265,88,7,50.793297366681045,Loyal
1266,490,1,3.4644851208980745,Hibernate
1267,594,1,4.217151991483648,Hibernate
1268,437,4,14.788152229323234,Regular
1269,91,5,26.451268456920378,High_spender
1270,249,3,14.24027842586744,At_risk
1272,521,1,5.027295734989362,Hibernate
1273,240,2,7.453771814841302,Hibernate
1274,538,3,12.544735432024158,At_risk
1275,73,10,42.358003031943205,Loyal
1276,37,5,24.823346755574327,High_spender
1277,29,5,26.44699374108785,High_spender
1278,21,4,24.3755587104034,High_spender
1279,111,6,30.84131763809444,Loyal
1280,140,4,13.39561737671837,Regular
1281,211,3,18.456972470151623,At_risk
1282,42,5,12.60300202082645,Regular
1283,47,7,31.0075536636014,Loyal
1284,485,2,7.195937226475569,Hibernate
1285,162,5,26.46137234670632,High_spender
1286,140,7,28.29906832842644,Loyal
1287,124,5,38.112703164791455,High_spender
1288,458,2,14.323494737217237,At_risk
1289,52,4,20.71692811848412,High_spender
1290,99,3,26.02244843017755,At_risk
1291,285,4,17.645955743594023,Regular
1292,67,2,7.473170901030897,Hibernate
1293,65,4,22.271789201019946,High_spender
1294,373,5,23.328595902139668,High_spender
1295,160,3,14.55728241672732,At_risk
1296,37,6,34.99054440717948,Loyal
1297,382,4,20.3945299390948,Regular
1298,156,3,13.550008940175116,At_risk
1299,210,3,9.81586965518475,At_risk
1300,482,1,4.762515756711869,Hibernate
1301,57,3,12.858305827337604,At_risk
1302,92,4,16.383679770951062,Regular
1303,113,5,26.10185658527208,High_spender
1304,135,3,14.919711654510747,At_risk
1305,220,3,25.33584880045655,At_risk
1306,40,3,15.748354384432348,At_risk
1307,191,5,20.23528747944373,Regular
1308,291,4,17.32537534875189,Regular
1309,273,5,22.38518246726645,High_spender
1310,403,2,4.80484038111666,Hibernate
1311,184,3,15.034552754456296,At_risk
1312,226,6,34.266973247868705,Loyal
1313,5,1,3.449987545831588,Hibernate
1314,481,1,1.7715567619105357,Hibernate
1315,53,3,14.965540413297814,At_risk
1316,279,3,12.46881815731367,At_risk
1317,522,3,10.072773722642095,At_risk
1318,95,2,11.627756158840253,At_risk
1319,134,3,16.659670789778467,At_risk
1320,345,4,20.95205324609429,High_spender
1321,261,2,6.288898911002441,Hibernate
1322,72,4,31.37132394715016,High_spender
1323,57,3,12.533850657474437,At_risk
1324,3,5,29.57571885007272,High_spender
1325,218,3,15.608200266882791,At_risk
1326,51,3,21.75411607110892,At_risk
1327,143,8,33.944108552665455,Loyal
1328,281,3,19.02540874974036,At_risk
1329,221,5,31.798457197101385,High_spender
1330,58,4,22.8792516537398,High_spender
1331,31,4,16.322392166063253,Regular
1332,28,5,21.8991564299592,High_spender
1333,99,6,32.38875728750192,Loyal
1334,206,2,8.07602018945409,Hibernate
1335,73,4,22.870354540558093,High_spender
1336,270,3,22.93432089200056,At_risk
1337,5,2,6.98808840601835,Hibernate
1338,506,2,8.030233692452196,Hibernate
1339,32,5,21.72993778290505,High_spender
1340,42,6,24.992110662035284,Loyal
1341,61,4,24.136130253483923,High_spender
1342,314,5,24.21472651066603,High_spender
1343,59,4,20.663305772877585,High_spender
1344,117,2,8.66613609428241,Hibernate
1345,162,3,18.55614075298536,At_risk
1346,236,3,13.809092360528911,At_risk
1347,106,4,26.06455963880096,High_spender
1348,104,2,10.131260372234,At_risk
1349,17,4,19.82904008653089,Regular
1350,483,2,7.866415607222801,Hibernate
1351,307,2,12.63271543511405,At_risk
1352,667,1,3.8877303128591016,Hibernate
1353,324,6,40.97252721623003,Loyal
1354,29,5,22.253968840241782,High_spender
1355,102,5,22.42361429377612,High_spender
1356,113,4,22.97779052254969,High_spender
1357,115,3,7.772055237076005,Hibernate
1358,1,4,22.426178543326635,High_spender
1359,580,1,8.765793753825534,Hibernate
1360,14,5,35.20970857597118,High_spender
1361,113,7,27.457677912368784,Loyal
1362,85,2,10.960798315060403,At_risk
1363,77,5,26.292199896847723,High_spender
1364,152,4,11.670991049832402,Regular
1365,58,6,20.26760082727651,Regular
1366,31,6,44.4228344589717,Loyal
1367,147,2,9.246079338570716,Hibernate
1368,168,1,5.754792395563946,Hibernate
1369,394,3,9.99224055441628,At_risk
1370,178,3,20.451802768940222,At_risk
1371,233,3,13.66282472472519,At_risk
1372,188,3,21.04583352319077,At_risk
1373,164,3,30.10156834785144,At_risk
1374,147,4,13.879307123045514,Regular
1375,80,1,2.589266665112244,Hibernate
1376,183,3,11.916106646262024,At_risk
1377,291,3,21.312625100172493,At_risk
1378,79,2,9.699316933926518,At_risk
1379,170,11,51.46106016986965,Loyal
1380,39,5,20.850094708750355,High_spender
1381,282,5,24.446935097506508,High_spender
1382,92,3,11.336640212975624,At_risk
1383,310,3,10.023377167794829,At_risk
1384,11,7,22.140657590353463,Loyal
1385,34,5,33.437549431089764,High_spender
1386,152,3,10.940053423715192,At_risk
1387,578,2,11.954220752864014,At_risk
1388,271,3,11.722115218314766,At_risk
1389,315,3,11.431443271319305,At_risk
1390,303,3,21.942755734175066,At_risk
1391,131,6,25.03776301399703,Loyal
1392,254,3,13.951814021172405,At_risk
1393,491,3,12.691443654415776,At_risk
1394,220,2,8.140245566866431,Hibernate
1395,79,8,42.2805513082986,Loyal
1396,161,2,17.980533838752585,At_risk
1397,9,1,3.859676525055937,Hibernate
1398,259,2,15.004921053747193,At_risk
1399,385,4,16.405711716076592,Regular
1400,445,1,3.174714929082431,Hibernate
1401,215,2,4.885643336489203,Hibernate
1402,442,1,5.577814029755829,Hibernate
1403,228,4,18.158145442031284,Regular
1404,241,5,33.57255357385358,High_spender
1405,305,2,9.96651478825697,At_risk
1406,2,2,23.66630578307786,At_risk
1407,154,6,44.36511898639802,Loyal
1408,160,3,10.528045952753295,At_risk
1409,155,3,10.792551737410855,At_risk
1410,52,10,46.08661816459433,Loyal
1411,313,2,9.192023599450865,Hibernate
1412,44,4,22.505512173112823,High_spender
1413,381,3,10.966348091035412,At_risk
1414,220,1,1.9851308622085948,Hibernate
1415,367,2,5.2061390274069925,Hibernate
1416,130,6,27.7296986703364,Loyal
1417,103,5,18.43347718904401,Regular
1418,393,3,11.086220689638433,At_risk
1419,267,5,29.254130913872576,High_spender
1420,22,4,20.399164430423525,Regular
1421,145,4,16.64707760880973,Regular
1422,87,7,34.87054983388273,Loyal
1423,443,2,12.54497776363662,At_risk
1424,82,3,13.777745242869251,At_risk
1425,97,4,15.004261426348792,Regular
1426,175,5,18.46759801144765,Regular
1427,34,6,25.85961559263311,Loyal
1428,346,5,23.452116765033555,High_spender
1429,326,2,9.483443688923575,At_risk
1430,13,6,31.23178460643308,Loyal
1431,53,4,13.335540927086583,Regular
1432,148,4,23.61880436410785,High_spender
1433,464,1,7.132791438183629,Hibernate
1434,397,3,13.849361655887186,At_risk
1435,250,5,31.480666185690264,High_spender
1436,304,1,3.336445504432459,Hibernate
1437,137,2,6.087513090618359,Hibernate
1438,32,6,35.6202503541118,Loyal
1439,139,1,5.584398157632844,Hibernate
1440,24,6,24.3658198957983,Loyal
1442,121,6,24.73628468185799,Loyal
1443,82,4,19.997019811306124,Regular
1444,1,6,38.34542191637333,Loyal
1445,607,3,8.924523226133914,Hibernate
1446,484,3,13.574083512953116,At_risk
1447,573,1,6.067017189508654,Hibernate
1448,286,2,8.425598600255162,Hibernate
1449,88,4,15.72624659235692,Regular
1450,44,6,28.430823330776644,Loyal
1451,337,2,12.41833480144543,At_risk
1452,35,6,32.84577277524492,Loyal
1453,404,2,8.58910446688322,Hibernate
1454,69,4,22.85704612282409,High_spender
1455,287,1,4.609560534289384,Hibernate
1456,40,6,36.55439437474836,Loyal
1457,355,6,26.8965435929621,Loyal
1458,128,3,13.025318467329122,At_risk
1459,165,1,7.666908902754672,Hibernate
1460,189,3,22.25345748803079,At_risk
1461,9,3,12.586779405127407,At_risk
1462,462,2,4.972414081276058,Hibernate
1463,6,3,10.6458521522648,At_risk
1464,210,2,7.679434266379586,Hibernate
1465,51,7,34.929112556575134,Loyal
1466,29,9,40.2610738693345,Loyal
1467,132,2,13.157482898153122,At_risk
1468,82,6,24.159150066942644,Loyal
1469,489,1,2.9444389791664407,Hibernate
1470,567,1,5.182457480453502,Hibernate
1471,496,2,6.299043360074213,Hibernate
1472,102,6,28.57114169788904,Loyal
1473,89,4,19.872579394580736,Regular
1474,154,5,21.719500057548,High_spender
1475,13,4,21.0287432632914,High_spender
1476,126,6,24.87818190086322,Loyal
1477,40,6,35.86332439852868,Loyal
1478,321,4,16.29869091570721,Regular
1479,229,4,25.700022481763256,High_spender
1480,39,6,24.88680224728034,Loyal
1481,209,2,7.439794299147326,Hibernate
1482,38,6,33.09493368265006,Loyal
1483,186,8,38.10746768630942,Loyal
1484,84,3,18.31088764036436,At_risk
1485,171,2,7.674524599412695,Hibernate
1486,16,6,28.303597619184583,Loyal
1487,423,2,11.93851776707488,At_risk
1488,32,4,16.763191497783197,Regular
1489,190,5,19.983912141028533,Regular
1490,87,2,9.607531343632102,At_risk
1491,0,5,22.57197381625004,High_spender
1492,335,5,21.87399439475223,High_spender
1493,90,6,29.20836356364201,Loyal
1494,92,6,33.40260485366389,Loyal
1495,355,3,16.98614018660245,At_risk
1496,613,1,3.80220813942094,Hibernate
1497,81,4,22.57665985660459,High_spender
1498,63,4,13.155275054996274,Regular
1499,51,5,16.220743306458317,Regular
1500,284,6,31.518893153703434,Loyal
1501,135,4,21.912694139669675,High_spender
1502,60,2,13.218693310654231,At_risk
1503,135,3,20.532307675957583,At_risk
1504,30,5,25.65612922237593,High_spender
1505,64,2,16.500884961895956,At_risk
1506,370,2,12.81528584201131,At_risk
1507,191,5,30.890197154263824,High_spender
1508,45,4,12.968159018056353,Regular
1509,0,6,33.26269535800169,Loyal
1510,66,7,32.47753862989834,Loyal
1511,283,2,7.487767803410201,Hibernate
1512,101,4,17.691625283126935,Regular
1513,48,3,22.90522650874568,At_risk
1514,128,5,17.996289013451303,Regular
1515,32,6,23.95319172577745,Loyal
1516,336,2,9.139505565167418,Hibernate
1517,151,4,15.911600319423988,Regular
1518,19,3,13.333388405311537,At_risk
1519,428,1,3.850998303590371,Hibernate
1520,307,3,11.640070897888616,At_risk
1521,369,2,14.061895322952498,At_risk
1522,371,7,41.4515704459746,Loyal
1523,277,3,18.120887448677635,At_risk
1524,25,4,16.60561783549764,Regular
1525,431,2,9.906687228110195,At_risk
1526,34,5,20.39239790034797,Regular
1527,0,5,20.65905000698813,High_spender
1528,106,4,17.982425176159254,Regular
1529,196,3,12.411297486362018,At_risk
1530,445,2,10.54182013038363,At_risk
1531,345,2,7.202405020749511,Hibernate
1532,193,2,13.168353476017996,At_risk
1533,53,3,12.95709881235539,At_risk
1534,139,4,34.89358774923385,High_spender
1535,180,4,16.745502029082605,Regular
1536,242,3,16.029350862810023,At_risk
1537,332,2,6.586981258072012,Hibernate
1538,30,3,11.662821112895363,At_risk
1539,94,2,9.763535592108685,At_risk
1540,34,4,25.047814974975207,High_spender
1542,145,6,29.596399754110863,Loyal
1544,308,4,15.439025566489033,Regular
1545,74,3,11.730607493764545,At_risk
1546,361,3,14.511783377022848,At_risk
1547,256,3,13.514300952285556,At_risk
1548,455,3,10.346951077097224,At_risk
1549,287,3,17.612183564574984,At_risk
1550,230,3,13.595027607111591,At_risk
1551,141,6,24.028551780312185,Loyal
1552,720,1,5.876334239854351,Hibernate
1553,162,6,24.15928160264632,Loyal
1554,223,5,33.59619028254801,High_spender
1555,278,1,5.069909985558727,Hibernate
1556,578,1,4.749270529961848,Hibernate
1557,148,2,11.759385462880417,At_risk
1558,268,1,3.862832761237376,Hibernate
1559,88,2,15.111217455439183,At_risk
1560,593,1,1.33500106673234,Hibernate
1561,158,7,32.31620278506731,Loyal
1562,233,3,11.137618008883493,At_risk
1563,612,2,9.559266874123804,At_risk
1564,68,4,16.802864774564434,Regular
1565,16,6,40.54058615933442,Loyal
1566,41,9,38.77215638505858,Loyal
1567,263,4,35.5740159205949,High_spender
1568,661,2,9.586763824099624,At_risk
1569,589,3,10.95363033988258,At_risk
1570,285,2,10.129084092811404,At_risk
1571,220,2,12.428696873949187,At_risk
1572,100,7,39.6368608372666,Loyal
1573,343,3,10.006998874849346,At_risk
1574,148,10,43.80977828791855,Loyal
1575,360,5,14.74449391110602,Regular
1577,289,1,5.630494678886369,Hibernate
1578,190,4,14.515327385457574,Regular
1579,563,1,3.175550700129828,Hibernate
1580,25,7,21.90961154366433,Loyal
1581,139,3,14.77647473465472,At_risk
1582,146,3,15.132363082707558,At_risk
1583,37,6,41.32173177338742,Loyal
1584,173,5,31.32895036962452,High_spender
1585,357,4,12.0457582500207,Regular
1586,607,2,9.19988995610134,Hibernate
1587,182,5,23.78144293997235,High_spender
1588,78,3,19.391645892372804,At_risk
1589,490,2,7.790014409345188,Hibernate
1590,137,3,11.618383255896664,At_risk
1591,285,4,19.856282111230897,Regular
1592,397,1,2.113842968397168,Hibernate
1593,144,3,10.323769855415446,At_risk
1594,341,3,8.647004713894745,Hibernate
1595,86,7,39.20219313524738,Loyal
1596,169,4,14.148676372792508,Regular
1597,328,4,14.36422696244812,Regular
1598,303,3,10.354870344280958,At_risk
1599,78,5,23.892836879364616,High_spender
1601,21,3,12.90669720865635,At_risk
1602,123,7,28.738053685427904,Loyal
1603,91,5,26.909540762133062,High_spender
1604,49,4,14.164901845198486,Regular
1605,177,5,16.21856520629468,Regular
1606,49,4,18.84661817646001,Regular
1607,444,2,9.73795557636877,At_risk
1608,47,6,33.85201463979137,Loyal
1609,13,6,29.43138772512858,Loyal
1610,218,2,9.685634589347009,At_risk
1611,270,3,19.20329603170488,At_risk
1612,54,6,27.19685896597162,Loyal
1613,127,7,31.41971886265321,Loyal
1614,70,2,9.97561490054817,At_risk
1615,27,4,20.270348751545807,Regular
1616,22,6,27.643470578195146,Loyal
1617,275,4,13.020108324726335,Regular
1618,150,7,34.39688558816227,Loyal
1619,62,4,23.88014996363369,High_spender
1620,132,5,25.60912952251491,High_spender
1621,313,5,28.93286554910196,High_spender
1622,294,4,18.039022758049413,Regular
1623,58,5,24.91694766394648,High_spender
1624,8,3,20.5239395428381,At_risk
1625,33,7,39.17809935696021,Loyal
1626,315,1,2.1041341542702074,Hibernate
1627,263,3,12.774210368329936,At_risk
1628,41,6,27.129481446645453,Loyal
1629,205,3,13.109714339848608,At_risk
1630,222,2,6.189042464859885,Hibernate
1631,138,2,10.367930751201214,At_risk
1632,15,6,22.6337426881672,Loyal
1633,143,2,10.867209051417936,At_risk
1634,27,6,29.342584474054217,Loyal
1635,35,3,10.386133276437574,At_risk
1636,25,6,21.707566229094702,Loyal
1638,293,2,15.709268436998371,At_risk
1639,81,3,19.36437916310554,At_risk
1640,662,2,7.460834550363855,Hibernate
1641,190,5,23.098972619105485,High_spender
1642,458,1,2.602689685444384,Hibernate
1643,246,2,5.39174213371483,Hibernate
1644,535,2,9.294497128410775,Hibernate
1645,451,2,8.59956963534616,Hibernate
1646,124,7,30.874040780132383,Loyal
1647,10,3,14.419749243685043,At_risk
1648,243,4,20.093996576147603,Regular
1649,31,7,34.386661876264924,Loyal
1650,551,2,11.038642972833433,At_risk
1651,13,7,36.43110062584909,Loyal
1652,288,5,21.213202120615364,High_spender
1653,23,6,40.9407674561164,Loyal
1654,51,9,42.20114116935022,Loyal
1655,40,4,18.491442102198658,Regular
1656,61,4,22.953751987002207,High_spender
1657,597,3,10.109691403457203,At_risk
1658,118,5,25.79891896656998,High_spender
1659,30,7,28.29214602356653,Loyal
1660,157,3,13.963423510415138,At_risk
1661,52,6,29.86299879974299,Loyal
1662,201,2,8.032925106850131,Hibernate
1663,49,4,24.673967796570075,High_spender
1664,273,3,17.1275492379433,At_risk
1665,31,3,8.26800228606372,Hibernate
1666,259,2,8.802648787107128,Hibernate
1667,352,1,4.969813299576001,Hibernate
1668,131,4,22.493837312176403,High_spender
1669,133,1,14.94737458192848,At_risk
1670,38,3,17.71100812324086,At_risk
1672,84,3,10.760735617043816,At_risk
1673,631,1,4.046553898385753,Hibernate
1674,26,4,23.165200883653817,High_spender
1676,80,4,16.515203268884086,Regular
1677,21,5,26.934857091434367,High_spender
1678,46,4,13.279361022872292,Regular
1679,22,4,17.001088821658335,Regular
1680,385,3,12.152066434594284,At_risk
1681,542,2,8.323371521076062,Hibernate
1682,59,7,38.49328821260443,Loyal
1683,132,2,8.196657294093379,Hibernate
1684,361,3,14.83395426175878,At_risk
1685,134,4,10.88599171410508,Regular
1686,594,3,11.819377192421255,At_risk
1687,439,5,20.82372109982408,High_spender
1688,50,1,3.5409593240373143,Hibernate
1689,386,2,9.93884851874816,At_risk
1690,131,6,28.6845946780092,Loyal
1692,185,6,23.90707825791988,Loyal
1693,3,4,20.59309692844854,High_spender
1694,455,2,10.40580074526654,At_risk
1695,329,1,4.416428061391214,Hibernate
1696,87,6,21.893661385835426,Loyal
1697,43,6,22.80090865029948,Loyal
1698,161,3,15.09174280784809,At_risk
1699,96,4,21.381557503057408,High_spender
1700,61,2,5.908687103450413,Hibernate
1701,227,1,4.765927564866206,Hibernate
1702,350,5,23.149900722146032,High_spender
1703,312,3,28.791458239792444,At_risk
1705,79,4,12.53013199110853,Regular
1706,138,4,30.56799217285429,High_spender
1707,204,2,7.070445393826865,Hibernate
1708,2,4,31.35026994679308,High_spender
1709,252,2,6.922699062367739,Hibernate
1710,25,3,13.607704899167944,At_risk
1711,38,8,36.42878329076933,Loyal
1712,487,2,12.877366256849609,At_risk
1714,150,2,9.564281085310949,At_risk
1715,179,6,41.85571366969168,Loyal
